File Name,Date taken,Title,Artist,Current time
IMG_0168 annotated.png,Thursday April 9,April's Full Moon: Tvisker,Pachamama SoundClo,1:01:28
IMG_1850.png,Friday January 4, Night Drive Tanz Franz,SoundCloud Pure Lust,1:19:30
